Time,AC-Gap_In,AD-Gap_In,AC-Gap_Out,AD-Gap_Out,InCount,OutCount,Result,
2019-09-21 15:54:40,173,282,257,386,22,22,NG,
2019-09-21 15:54:42,154,293,146,337,2,2,OK,
2019-09-21 15:55:02,143,315,270,405,27,26,NG,
2019-09-21 15:55:19,142,310,204,351,22,22,NG,
2019-09-21 15:55:21,123,318,134,349,2,2,OK,
2019-09-21 15:55:39,144,312,190,322,23,22,OK,
2019-09-21 15:55:41,125,321,137,356,2,2,OK,
2019-09-21 15:56:00,148,305,344,432,22,22,NG,
2019-09-21 15:56:01,129,315,146,346,2,2,OK,
2019-09-21 15:56:19,137,316,209,344,23,22,NG,
2019-09-21 15:56:21,116,324,145,341,2,2,OK,
2019-09-21 15:56:40,143,312,423,511,22,22,NG,
2019-09-21 15:56:41,126,321,149,340,2,2,OK,
2019-09-21 15:56:59,144,315,368,482,23,22,NG,
2019-09-21 15:57:01,116,328,151,340,2,2,OK,
2019-09-21 15:57:19,129,324,270,418,22,22,NG,
2019-09-21 15:57:21,102,334,161,326,2,2,OK,
2019-09-21 15:57:39,147,306,372,484,22,22,NG,
2019-09-21 15:57:41,133,309,141,346,2,2,OK,
2019-09-21 15:57:59,141,315,349,473,23,23,NG,
2019-09-21 15:58:01,118,325,576,672,2,2,NG,
2019-09-21 15:58:19,118,336,235,384,22,22,NG,
2019-09-21 15:58:21,88,352,136,347,2,2,OK,
2019-09-21 15:58:39,150,300,422,509,22,22,NG,
2019-09-21 15:58:41,136,309,565,678,2,2,NG,
2019-09-21 15:58:59,121,337,343,434,22,22,NG,
2019-09-21 15:59:00,99,344,136,348,2,2,OK,
2019-09-21 15:59:18,126,328,237,383,23,22,NG,
2019-09-21 15:59:20,95,339,140,343,2,2,OK,
2019-09-21 15:59:39,137,316,353,443,22,22,NG,
2019-09-21 15:59:40,113,327,583,661,2,2,NG,
2019-09-21 15:59:58,140,319,516,541,23,22,NG,
2019-09-21 16:00:00,114,325,605,642,2,2,NG,
2019-09-21 16:00:18,118,335,195,360,23,22,NG,
2019-09-21 16:00:20,94,343,141,340,2,2,OK,
2019-09-21 16:00:38,148,304,217,366,23,22,NG,
2019-09-21 16:00:40,125,314,572,676,2,2,NG,
2019-09-21 16:00:58,144,313,339,445,23,23,NG,
2019-09-21 16:01:00,121,321,574,671,2,2,NG,
2019-09-21 16:01:18,137,316,269,421,23,22,NG,
2019-09-21 16:01:20,115,324,139,348,2,2,OK,
2019-09-21 16:01:39,151,301,496,568,22,22,NG,
2019-09-21 16:01:40,142,307,136,355,2,2,OK,
2019-09-21 16:01:58,130,328,439,536,22,22,NG,
2019-09-21 16:02:00,103,339,131,354,2,2,OK,
2019-09-21 16:02:18,133,322,283,407,23,22,NG,
2019-09-21 16:02:20,105,335,136,349,2,2,OK,
2019-09-21 16:02:38,153,300,277,383,22,22,NG,
2019-09-21 16:02:39,131,307,151,337,2,2,OK,
2019-09-21 16:02:58,126,332,343,444,22,22,NG,
2019-09-21 16:02:59,96,343,575,670,2,2,NG,
2019-09-21 16:03:17,130,325,194,360,23,22,NG,
2019-09-21 16:03:19,100,338,145,339,2,2,OK,
2019-09-21 16:03:38,135,318,411,515,22,22,NG,
2019-09-21 16:03:39,121,324,572,673,2,2,NG,
2019-09-21 16:03:58,128,331,383,470,22,22,NG,
2019-09-21 16:03:59,104,341,575,668,2,2,NG,
2019-09-21 16:04:17,144,304,202,354,22,22,NG,
2019-09-21 16:04:19,123,316,148,338,2,2,OK,
2019-09-21 16:04:37,151,300,364,431,22,22,NG,
2019-09-21 16:04:39,131,309,578,671,2,2,NG,
2019-09-21 16:04:57,144,330,393,498,12,12,NG,
2019-09-21 16:06:21,935,965,924,950,15,14,NG,
